date,port_ret
2013-11-11,-0.004769495561963266
2013-11-12,0.0018353320712988785
2013-11-13,0.01471935954167164
2013-11-14,-0.00363637785327664
2013-11-15,-0.008120879748643367
2013-11-18,-0.020126388634279707
2013-11-19,0.002110659757960598
2013-11-20,-0.0009105962324869599
2013-11-21,0.0044669442053316966
2013-11-22,-0.0048303056024526225
2013-11-25,-0.0072941840749583264
2013-11-26,0.013517609973102696
2013-11-27,0.009079045173191552
2013-11-29,0.008294249558768785
2013-12-02,0.001932681002993708
2013-12-03,-0.010417336874666006
2013-12-04,0.011646088240015312
2013-12-05,0.001013747461460629
2013-12-06,-0.01003898281398849
2013-12-09,0.0020968816146576252
2013-12-10,0.012765866114172159
2013-12-11,-0.005250428747240826
2013-12-12,0.013989204160475499
2013-12-13,0.009066066697577618
2013-12-16,0.0024288736830107294
2013-12-17,0.007625533316582139
2013-12-18,-0.0054343580172810935
2013-12-19,-0.0035283950018086263
2013-12-20,0.001599165228801408
2013-12-23,0.011463408286865429
2013-12-24,-0.0039215385806312675
2013-12-26,-0.003358246779866597
2013-12-27,-0.016093898462466755
2013-12-30,-0.013013272624174857
2013-12-31,0.0033154694774654714
2014-01-02,0.0007172371188062313
2014-01-03,-0.00297750494648763
2014-01-06,0.0084987422852493
2014-01-07,0.005285701229639811
2014-01-08,0.0022400006844384146
2014-01-09,-0.002003121573065425
2014-01-10,0.0003012738868332643
2014-01-13,-0.004682428821374096
2014-01-14,0.004391506501990772
2014-01-15,-0.0034819051386917044
2014-01-16,-0.003009387802827501
2014-01-17,0.001715859148830462
2014-01-21,0.01327097425509266
2014-01-22,-0.004409515911708101
2014-01-23,-0.0026518558719919316
2014-01-24,-0.013880413065592012
2014-01-27,-0.0008933103443673207
2014-01-28,-0.015042497129430149
2014-01-29,-0.005808513013982858
2014-01-30,0.07243861058897563
2014-01-31,-0.017704431996009934
2014-02-03,-0.0026588753673385257
2014-02-04,0.005637222745880993
2014-02-05,-0.006396424460909295
2014-02-06,7.108066923133816e-05
2014-02-07,0.008296307224660904
2014-02-10,-0.007107717272288677
2014-02-11,0.0006427126751977208
2014-02-12,-0.007944303888815507
2014-02-13,0.01492806725915019
2014-02-14,-0.00630090471917466
2014-02-18,0.005668436746691624
2014-02-19,-0.0027556867258294038
2014-02-20,0.0061935802710084975
2014-02-21,-0.005521832909417712
2014-02-24,0.013074227140734057
2014-02-25,0.005671030869681903
2014-02-26,0.00014840007831601332
2014-02-27,-0.001773514527381892
2014-02-28,-0.006000668768005674
2014-03-03,-0.0012293999778094922
2014-03-04,-0.00029496378168192283
2014-03-05,0.014771281848221296
2014-03-06,-0.003854003984032628
2014-03-07,-0.006840212124020473
2014-03-10,0.006497527505887113
2014-03-11,-0.010532113138305654
2014-03-12,0.0028544294288066485
2014-03-13,-0.009247166377696875
2014-03-14,-0.006276615703064842
2014-03-17,0.002140329595353707
2014-03-18,0.005847396296756652
2014-03-19,-0.0018773763131260113
2014-03-20,-0.005044243956017519
2014-03-21,-0.005344084101692598
2014-03-24,-0.019636617015855673
2014-03-25,-0.004080763328275061
2014-03-26,-0.021290335966425517
2014-03-27,-0.0009029699683366366
2014-03-28,-0.005907989580068683
2014-03-31,-0.0049602683469706366
2014-04-01,0.003998306356807715
2014-04-02,0.0003588450107858965
2014-04-03,-0.011369292960007105
2014-04-04,-0.022374635393454523
2014-04-07,0.00043157014082081946
2014-04-08,0.010592208487883198
2014-04-09,0.01868757972943308
2014-04-10,-0.01753917935040139
2014-04-11,-0.006583203856426495
2014-04-14,0.00414491973700698
2014-04-15,-0.0029405299724364897
2014-04-16,0.008220206179485073
2014-04-17,-0.013248854401179455
2014-04-21,0.005913061253369739
